subject_id,label_id,number,content,question_img_src,correct_answer_no,commentary,answer_img_src
1,1,1,"ユニバーサルデザインに関する次の記述について、（　　　）に入る語句の組合せとして最も適切なものはどれか。

北欧発の考え方である、障害者と健常者が一緒に生活できる社会を目指す（　ア　）、及び、米国発のバリアフリーという考え方の広がりを受けて、ロナルド・メイス（通称ロン・メイス）により1980年代に提唱された考え方が、ユニバーサルデザインである。ユニバーサルデザインは、特別な設計やデザインの変更を行うことなく、可能な限りすべての人が利用できうるよう製品や（　イ　）を設計することを意味する。ユニバーサルデザインの7つの原則は、（1）誰でもが公平に利用できる、（2）柔軟性がある、（3）シンプルかつ（　ウ　）な利用が可能、（4）必要な情報がすぐにわかる、（5）（　エ　）しても危険が起こらない、（6）小さな力でも利用できる、（7）じゅうぶんな大きさや広さが確保されている、である。",,3,"ユニバーサルデザインは、文化・言語・国籍や年齢・性別・能力などの違いにかかわらず、できるだけ多くの人が利用できるように設計された環境、建築、製品、情報などを指します。

「ノーマライゼーション」とは、障害者と健常者が一緒に生活できる社会を指す考え方です。

「カスタマイゼーション」は、顧客個人の要望に合わせて特注で商品やサービスを製作することを指しますが、ユニバーサルデザインは一般的な設計やデザインを通じて、できるだけ多くの人が利用できるようにすることを目指します。

ユニバーサルデザインの7つの原則には、利用者が直感的に理解できるデザイン、誤操作が起こりにくいデザイン、小さな力でも利用できるデザイン、安全性が確保されたデザインなどが含まれています。そのため、正解は3.「ノーマライゼーション」「環境」「直感的」「ミス」です。",
1,1,2,"ある材料に生ずる応力S［MPa］とその材料の強度R［MPa］を確率変数として、Z＝R−Sが0を下回る確率Pr（Z＜0）が一定値以下となるように設計する。応力Sは平均µS、標準偏差σSの正規分布に、強度Rは平均µR、標準偏差σRの正規分布に従い、互いに独立な確率変数とみなせるとする。µ_S：σ_S：µ_R：σ_Rの比として（ア）から（エ）の4ケースを考えるとき、Pr（Z＜0）を小さい順に並べたものとして最も適切なものはどれか。

（ア）10　：　2√2　：　14　：　1
（イ）10　：　1　：　13　：　2√2
（ウ）9　：　1　：　12　：　√3
（エ）11　：　1　：　12　：　1",,4,"確率変数 \( Z = R - S \) の分布は、\( R \) と \( S \) の分布に依存します。ここで、それぞれが正規分布に従うとされています。2つの独立な正規分布変数の差の平均は2つの平均の差となります。また、その分散は2つの分散の和となります。

この問題では、\( Z \) の値が0未満となる確率、すなわち \( Pr(Z < 0) \) を求める必要があります。この確率は、\( Z \) の平均と標準偏差によって影響されます。

まず、各ケースにおける \( Z \) の平均 \( \mu_Z \) を計算します。

（ア）:
\[ \mu_Z = \mu_R - \mu_S = 14 - 10 = 4 \]

（イ）:
\[ \mu_Z = \mu_R - \mu_S = 13 - 10 = 3 \]

（ウ）:
\[ \mu_Z = \mu_R - \mu_S = 12 - 9 = 3 \]

（エ）:
\[ \mu_Z = \mu_R - \mu_S = 12 - 11 = 1 \]

次に、各ケースの \( Z \) の標準偏差 \( \sigma_Z \) を計算します。

（ア）:
\[ \sigma_Z^2 = \sigma_R^2 + \sigma_S^2 = 1^2 + (2\sqrt{2})^2 = 9 \]
\[ \sigma_Z = 3 \]

（イ）:
\[ \sigma_Z^2 = \sigma_R^2 + \sigma_S^2 = (2\sqrt{2})^2 + 1^2 = 9 \]
\[ \sigma_Z = 3 \]

（ウ）:
\[ \sigma_Z^2 = \sigma_R^2 + \sigma_S^2 = \sqrt{3}^2 + 1^2 = 4 \]
\[ \sigma_Z = 2 \]

（エ）:
\[ \sigma_Z^2 = \sigma_R^2 + \sigma_S^2 = 1^2 + 1^2 = 2 \]
\[ \sigma_Z = \sqrt{2} \]

これを考慮すると、\( \mu_Z \) が大きく \( \sigma_Z \) が小さいほど、\( Pr(Z < 0) \) は小さくなります。したがって、次のような順序で \( Pr(Z < 0) \) が小さい順になります。

\[ \text{ウ → ア → イ → エ} \]

となります。",
1,1,3,"次の（ア）から（オ）の記述について、それぞれの正誤の組合せとして、最も適切なものはどれか。

（ア）荷重を増大させていくと、建物は多くの部材が降伏し、荷重が上がらなくなり大きく変形します。最後は建物が倒壊してしまいます。このときの荷重が弾性荷重です。
（イ）非常に大きな力で棒を引っ張ると、最後は引きちぎれてしまいます。これを破断と呼んでいます。破断は、引張応力度がその材料固有の固有振動数に達したために生じたものです。
（ウ）細長い棒の両端を押すと、押している途中で、急に力とは直交する方向に変形してしまうことがあります。この現象を座屈と呼んでいます。
（エ）太く短い棒の両端を押すと、破断強度までじわじわ縮んで、最後は圧壊します。
（オ）建物に加わる力を荷重、また荷重を支える要素を部材あるいは構造部材と呼びます。",,3,"（ア）荷重を増大させていくと、建物は多くの部材が降伏し、荷重が上がらなくなり大きく変形します。最後は建物が倒壊してしまいます。このときの荷重が弾性荷重です。
- 誤：建物が倒壊する前に、部材が降伏し、変形する際の荷重は「降伏荷重」です。「弾性荷重」は、部材がまだ弾性的に変形する範囲の荷重を指します。

（イ）非常に大きな力で棒を引っ張ると、最後は引きちぎれてしまいます。これを破断と呼んでいます。破断は、引張応力度がその材料固有の固有振動数に達したために生じたものです。
- 誤：破断はその材料がもうこれ以上の力に耐えられなくなり、壊れることを指します。固有振動数とは無関係です。

（ウ）細長い棒の両端を押すと、押している途中で、急に力とは直交する方向に変形してしまうことがあります。この現象を座屈と呼んでいます。
- 正：細長い部材が圧縮荷重により、直交する方向に変形する現象は「座屈」として知られています。

（エ）太く短い棒の両端を押すと、破断強度までじわじわ縮んで、最後は圧壊します。
- 正：太くて短い棒は座屈の影響を受けにくく、圧縮されると最終的に圧壊することがあります。

（オ）建物に加わる力を荷重、また荷重を支える要素を部材あるいは構造部材と呼びます。
- 正：この定義は正しいです。建物に加わる力を荷重と呼び、その荷重を支えるための要素を部材や構造部材と呼びます。

正誤の組み合わせは以下のようになります。
ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：正

したがって、正しい組み合わせは「3 .ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：正」です。",
1,1,4,"ある工場で原料A、Bを用いて、製品1、2を生産し販売している。下表に示すように製品1を1［kg］生産するために原料A、Bはそれぞれ3［kg］、1［kg］必要で、製品2を1［kg］生産するためには原料A、Bをそれぞれ2［kg］、3［kg］必要とする。原料A、Bの使用量については、1日当たりの上限があり、それぞれ24［kg］、15［kg］である。

（1）製品1、2の1［kg］当たりの販売利益が、各々2［百万円／kg］、3［百万円／kg］の時、1日当たりの全体の利益z［百万円］が最大となるように製品1並びに製品2の1日当たりの生産量x_1［kg］、x_2［kg］を決定する。なお、x_1≧0、x_2≧0とする。

（2）次に、製品1の販売利益がΔc［百万円／kg］だけ変化する、すなわち（2＋Δc）［百万円／kg］となる場合を想定し、zを最大にする製品1、2の生産量が、（1）で決定した製品1、2の生産量と同一であるΔc［百万円／kg］の範囲を求める。

1日当たりの生産量x_1［kg］及びx_2［kg］の値と、Δc［百万円／kg］の範囲の組合せとして、最も適切なものはどれか。",question_14,5,"ある工場で、原料Aと原料Bを使用して、製品1と製品2を生産しています。それぞれの製品を1kg生産するための原料の使用量、そして原料A、Bの1日当たりの使用上限が問題文からわかっています。

まず、原料の使用上限に関する制約式を立てます。

1. 原料Aに関する制約:
\[ 3x_1 + 2x_2 \leq 24 \] ・・・①

2. 原料Bに関する制約:
\[ x_1 + 3x_2 \leq 15 \] ・・・②

これらの制約式から、生産量x1とx2を求めます。連立方程式を解くと、

\[ x_1 = 6 \]
\[ x_2 = 3 \]

となります。したがって、製品1の1日当たりの生産量は6kg、製品2は3kgとなります。

この生産計画での利益zは、
\[ z = 2x_1 + 3x_2 = 12 + 9 = 21 \]
として、21百万円と表せます。

次に、製品1の販売利益がΔC[百万円/kg]変化した場合の利益を考慮します。新しい利益z'は、
\[ z' = (2 + \Delta C)x_1 + 3x_2 \]
と表せます。

これを、原料の使用制約を考慮しつつ、x1やx2が変わった時に21百万円と同じ利益になるΔCの範囲を求めます。上記の計算により、
\[ -1 \leq \Delta C \leq \frac{5}{2} \]
となります。

したがって、製品1の1日当たりの生産量が6kg、製品2が3kgの時に、利益が最大となるΔCの範囲は、-1から2.5(5/2)となります。",
1,1,5,"製図法に関する次の（ア）から（オ）の記述について、それぞれの正誤の組合せとして、最も適切なものはどれか。

（ア）　第三角法の場合は、平面図は正面図の上に、右側面図は正面図の右にというように、見る側と同じ側に描かれる。
（イ）　第一角法の場合は、平面図は正面図の上に、左側面図は正面図の右にというように、見る側とは反対の側に描かれる。
（ウ）　対象物内部の見えない形を図示する場合は、対象物をある箇所で切断したと仮定して、切断面の手前を取り除き、その切り口の形状を、外形線によって図示することとすれば、非常にわかりやすい図となる。このような図が想像図である。
（エ）　第三角法と第一角法では、同じ図面でも、違った対象物を表している場合があるが、用いた投影法は明記する必要がない。
（オ）　正面図とは、その対象物に対する情報量が最も多い、いわば図面の主体になるものであって、これを主投影図とする。したがって、ごく簡単なものでは、主投影図だけで充分に用が足りる。",,5,"製図法に関する問題は、技術士試験の基礎として頻繁に問われます。このような問題に取り組む際には、各項目の正誤を確認した後、与えられた選択肢と一致する組み合わせを選ぶ必要があります。注意深く各項目を検討していきましょう。

（ア）第三角法の説明に関しては、記述が正しいです。第三角法では、見る側と同じ側に図が描かれるので、平面図は正面図の上、右側面図は正面図の右に描かれます。

（イ）この記述は誤っています。第一角法では、平面図は正面図の下に、左側面図は正面図の左に描かれます。このため、記述の「平面図は正面図の上に、左側面図は正面図の右に」という部分は正しくありません。

（ウ）この記述は誤りです。対象物内部の見えない形を図示する場合に使用されるのは「断面図」です。したがって、「想像図」という用語はこの文脈では不適切です。

（エ）この記述も誤りです。製図において、どの投影法を用いたかは非常に重要であり、その情報は明記されるべきです。

（オ）この記述は正しいです。正面図は、対象物の前面からの投影を示す図で、情報量が多い場合が多いため、主投影図として使用されることが一般的です。

上記の正誤をもとに、組み合わせを確認すると、正解は「5. ア：正　イ：誤　ウ：誤　エ：誤　オ：正」となります。",
1,1,6,下図に示されるように、信頼度が0.7であるn個の要素が並列に接続され、さらに信頼度0.95の1個の要素が直列に接続されたシステムを考える。それぞれの要素は互いに独立であり、nは2以上の整数とする。システムの信頼度が0.94以上となるために必要なnの最小値について、最も適切なものはどれか。,question_15,3,"技術士試験でのシステムの信頼性に関する問題は、基本的なシステム信頼性の計算技術を問うものです。特に、要素が並列や直列で接続されている場合のシステム全体の信頼性を計算する能力が求められます。

今回の問題では、信頼度が0.7の要素がn個並列で接続され、その後に信頼度0.95の要素と直列に接続されています。

1. まず、並列接続された要素の全体の信頼度 \( R_1 \) を計算します。この場合、すべての要素が動作する確率は、
\[ R_1 = 1 - (1-0.7)^n \]
となります。

2. 次に、この並列接続された部分と直列に接続された要素の信頼度0.95と合成して、システム全体の信頼度 \( R \) を計算します。
\[ R = R_1 \times 0.95 \]

システム全体の信頼度が0.94以上であるためには、
\[ R_1 \geq \frac{0.94}{0.95} \approx 0.9895 \]
でなければなりません。

3. \( R_1 \) が 0.9895 以上となる最小のnを見つけるために、上の \( R_1 \) の式に異なるnの値を代入して計算します。

n=2 の場合:
\[ R_1 = 1 - (1-0.7)^2 = 0.91 \]

n=3 の場合:
\[ R_1 = 1 - (1-0.7)^3 = 0.973 \]

n=4 の場合:
\[ R_1 = 1 - (1-0.7)^4 \approx 0.9919 \]

上記の計算から、n=4のとき初めて \( R_1 \) が0.9895を超えることがわかります。したがって、システム全体の信頼度が0.94以上となるためのnの最小値は4です。

結論として、正答は3. 4となります。",
1,2,1,情報の圧縮に関する次の記述のうち、最も不適切なものはどれか。,,4,"4番目の記述「データ圧縮では、情報源に関する知識（記号の生起確率など）が必要であり、情報源の知識が無い場合にはデータ圧縮することはできない。」が最も不適切です。

実際には、多くの汎用圧縮アルゴリズム（例：ZIP、gzipなど）は、特定の情報源に関する事前知識なしに効果的にデータを圧縮します。これらのアルゴリズムは、入力データからのパターンを検出して圧縮を行います。記号の生起確率のような情報源の知識を必要とするエンコーディング技術も存在しますが、それが絶対的に必要というわけではありません。",
1,2,2,"下表に示す真理値表の演算結果と一致する、論理式f（x, y, z）として正しいものはどれか。ただし、変数X、Yに対して、X＋Yは論理和、XYは論理積、\(\overline{X}\)は論理否定を表す。",question_16,3,"真理値表から、f(x, y, z)が1となる組み合わせを確認します。
- (x, y, z) = (0, 0, 1)
- (x, y, z) = (1, 0, 1)
- (x, y, z) = (1, 1, 0)
- (x, y, z) = (1, 1, 1)

これらの組み合わせを各選択肢の論理式に代入して、真理値表と一致するかどうかを確認します。

1) \( f(x, y, z) = xy + z \)
(0, 0, 1) → 0 + 1 = 1
(1, 0, 1) → 0 + 1 = 1
(1, 1, 0) → 1 + 0 = 1
(1, 1, 1) → 1 + 1 = 2 (この場合の2は論理演算で1とみなします)

2) \( f(x, y, z) = \overline{x}y + \overline{yz} \)
(0, 0, 1) → 0 + 0 = 0
(1, 0, 1) → 0 + 0 = 0
(1, 1, 0) → 0 + 1 = 1
(1, 1, 1) → 0 + 0 = 0

3) \( f(x, y, z) = xy + \overline{y}z \)
(0, 0, 1) → 0 + 1 = 1
(1, 0, 1) → 0 + 1 = 1
(1, 1, 0) → 1 + 0 = 1
(1, 1, 1) → 1 + 0 = 1

4) \( f(x, y, z) = xy + \overline{xy} \)
(0, 0, 1) → 0 + 1 = 1
(1, 0, 1) → 0 + 0 = 0
(1, 1, 0) → 1 + 0 = 1
(1, 1, 1) → 1 + 0 = 1

5) \( f(x, y, z) = xy + \overline{x}z \)
(0, 0, 1) → 0 + 1 = 1
(1, 0, 1) → 0 + 0 = 0
(1, 1, 0) → 1 + 0 = 1
(1, 1, 1) → 1 + 0 = 1

これらの結果から、f(x, y, z)が1となる組み合わせと真理値表が一致するのは、選択肢1)と3)です。

f(x, y, z) = 0である組み合わせについても、この論理式が正しいかを確認すると、

1) \( f(x, y, z) = xy + z \)

- (x, y, z) = (0, 0, 0) → 0 + 0 = 0 〇
- (x, y, z) = (0, 1, 0) → 0 + 0 = 0 〇
- (x, y, z) = (0, 1, 1) → 0 + 1 = 1 ×
- (x, y, z) = (1, 0, 0) → 0 + 0 = 0 〇

上記から、(x, y, z) = (0, 1, 1)の場合に、真理値表と論理式の結果が一致しません。真理値表ではf(0, 1, 1) = 0であるのに対し、論理式1)ではf(0, 1, 1) = 1となります。

このため、選択肢1) \( f(x, y, z) = xy + z \) は間違いです。

したがって、正解は3) \( f(x, y, z) = xy + \overline{y}z \) のみです。",
1,2,3,標的型攻撃に対する有効な対策として、最も不適切なものはどれか。,,1,"標的型攻撃に対する対策の適切性を判断する問題です。

以下、各選択肢についての解説を行います。

1．**不適切**です。メール中のオンラインストレージのURLリンクを使用したファイルの受信の確認は重要ですが、メールゲートウェイでの検知は、攻撃者がURLを変えたり、異なる手法を使用することで簡単に回避される可能性があるため、絶対的な対策とは言えません。

2．適切な記述です。多層的な防御は、セキュリティのベストプラクティスとして広く認識されており、一つの対策が破られても他の層が攻撃を阻止する役割を果たします。

3．適切な記述です。標的型攻撃メールを受信した際の窓口を明確にすることで、迅速な情報収集や対応が可能になります。

4．適切な記述です。特定のファイルの実行を制限することで、悪意のあるファイルが実行されるリスクを軽減することができます。

5．適切な記述です。実際の攻撃に備えて、模擬的な攻撃を行うことで、従業員の認識を高め、適切な対応を促すことができます。

以上の結果、**不適切なもの**は「1. メール中のオンラインストレージのURLリンクを使用したファイルの受信は、正規のサービスかどうかを確認し、メールゲートウェイで検知する。」となります。",
1,2,4,一般に、k桁のn進数Xについて、Xのnの補数は\( n^k - X \)、Xの\( n-1 \)の補数は\( n^k - 1 - X \)をそれぞれn進数で表現したものとして定義する。よって、3桁の10進数で表現した\( (956)_{10} \)の（n=10）の補数は、\( 10^3 \)から\( (956)_{10} \)を引いた\( (44)_{10} \)である。さらに\( (956)_{10} \)の\( (n-1 = 9) \)の補数は、\( 10^3 - 1 \)から\( (956)_{10} \)を引いた\( (43)_{10} \)である。同様に、6桁の2進数\( (100110)_{2} \)の2の補数は（  ア  ）、1の補数は（  イ  ）である。,,2,"6桁の2進数で考える。

**2の補数**は、2^6から該当数を引いたものです。  
2^6 = 64  
（100110）2 = 32 + 4 + 2 = 38  
2の補数： 64 - 38 = 26  
26を2進数に変換すると、(011010)2  
よって、ア：(011010)2 

**1の補数**は、2^6 - 1から該当数を引いたものです。  
2^6 - 1 = 63  
（100110）2 = 38  
1の補数： 63 - 38 = 25  
25を2進数に変換すると、(011001)2  
よって、イ：(011001)2 

この結果から、正解選択肢は**2. ア：（011010）2　　イ：（011001）2** となります。",
